"","U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","wd","ws","air_temp","Poll_Value"
"1",-2.094198,57.133888,1,2020-02-01,1,"ABD8","Aberdeen Wellington Road","Urban Traffic",266.296717463483,7.82083333333333,4.78333333333333,17.5891183333333
"2",-3.034178,52.50385,1,2020-02-01,2,"AH","Aston Hill","Rural Background",261.281775446309,9.175,5.90833333333333,0.933735833333333
"3",-6.250873,54.861595,1,2020-02-01,3,"BALM","Ballymena Ballykeel","Urban Background",257.704860228465,7.84583333333333,5.80416666666667,11.9633266666667
"4",-1.510436,53.56292,1,2020-02-01,4,"BAR3","Barnsley Gawber","Urban Background",263.601857339992,9.40833333333333,6.80416666666667,5.01171217391304
"5",-5.974944,54.572586,1,2020-02-01,5,"BEL1","Belfast Stockman's Lane","Urban Traffic",258.552599226985,9.06666666666667,5.98333333333333,35.3462065217391
"6",-1.275039,54.60537,1,2020-02-01,6,"BIL","Billingham","Urban Industrial",248.767219796994,6.84166666666667,6.71666666666667,4.97164208333333
"7",-3.007175,53.80489,1,2020-02-01,7,"BLC2","Blackpool Marton","Urban Background",254.264275559535,10.4083333333333,7.21666666666667,9.45690708333333
"8",-1.918235,52.481346,1,2020-02-01,8,"BMLD","Birmingham Ladywood","Urban Background",256.220951678,6.9,7.07916666666667,5.92482875
"9",-2.003497,52.502436,1,2020-02-01,9,"BOLD","Oldbury Birmingham Road","Urban Traffic",256.641631767898,6.37916666666667,7.1,15.2806982608696
"10",-1.826744,50.73957,1,2020-02-01,10,"BORN","Bournemouth","Urban Background",258.686137841308,5.86666666666667,8.45,6.89068791666667
"11",-1.635718,52.82105,1,2020-02-01,11,"BOTR","Burton-on-Trent Horninglow","Urban Background",256.049399283671,8.75,6.9,7.39860416666667
"12",-2.583975,51.457968,1,2020-02-01,12,"BR11","Bristol Temple Way","Urban Traffic",254.071360365469,7.70833333333333,7.1875,15.7474454166667
"13",-2.584482,51.462839,1,2020-02-01,13,"BRS8","Bristol St Paul's","Urban Background",254.071360365469,7.70833333333333,7.1875,10.5709682608696
"14",-0.147572,50.840836,1,2020-02-01,14,"BRT3","Brighton Preston Park","Urban Background",265.959937855061,10.55,9.76666666666667,7.62432291666667
"15",-3.205782,55.862281,1,2020-02-01,15,"BUSH","Bush Estate","Rural Background",248.233172767221,9.1125,5.88333333333333,2.05183739130435
"16",-3.133508,51.680579,1,2020-02-01,16,"CAE6","Hafod-yr-ynys Roadside","Urban Traffic",260.665948902573,8.225,6.75,30.07884
"17",-2.945307,54.894834,1,2020-02-01,17,"CARL","Carlisle Roadside","Urban Traffic",249.43291557397,9.53333333333333,6.475,13.4890991666667
"18",0.54797,51.374264,1,2020-02-01,18,"CHAT","Chatham Roadside","Urban Traffic",256.660260094667,8.70416666666667,8.04166666666667,14.3219558333333
"19",-2.678731,51.638094,1,2020-02-01,19,"CHP","Chepstow A48","Urban Traffic",249.067194749573,8.52916666666667,7.92916666666667,31.2014104166667
"20",-3.152305,51.49096,1,2020-02-01,20,"CNPR","Cardiff Newport Road","Urban Traffic",251.944058646843,8.1375,8.19166666666667,8.37808541666667
"21",-1.490082,52.407708,1,2020-02-01,21,"COBR","Coventry Binley Road","Urban Traffic",253.620466159592,8.38333333333333,7.09583333333333,17.7223916666667
"22",-2.093844,53.579227,1,2020-02-01,22,"CW","Shaw Crompton Way","Urban Traffic",257.469829185014,6.52916666666667,6.43333333333333,16.8671541666667
"23",-2.959861,56.475434,1,2020-02-01,25,"DCC1","Dundee Mains Loan","Urban Background",260.31470202645,7.24166666666667,5.0875,8.9942625
