"","U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","wd","ws","air_temp","Poll_Value"
"1",-3.2429,55.79216,1,2020-02-01,1,"ACTH","Auchencorth Moss","Rural Background",251.39914477319,9.33333333333333,4.68333333333333,69.15377875
"2",-1.874978,52.476145,1,2020-02-01,2,"BIRR","Birmingham A4540 Roadside","Urban Traffic",258.496385488857,6.43333333333333,7.35416666666667,63.2248858333333
"3",-3.205782,55.862281,1,2020-02-01,3,"BUSH","Bush Estate","Rural Background",248.233172767221,9.1125,5.88333333333333,69.6804216666667
"4",-1.560189,52.411628,1,2020-02-01,4,"COAL","Coventry Allesley","Urban Background",253.620466159592,8.38333333333333,7.09583333333333,70.2548779166667
"5",-3.182186,55.945589,1,2020-02-01,7,"ED3","Edinburgh St Leonards","Urban Background",250.595796222208,10.0458333333333,7.0125,62.3545391666667
"6",-5.101102,56.82266,1,2020-02-01,8,"FW","Fort William","Suburban Background",254.960150529009,4.7375,4.59583333333333,65.4947270833333
"7",-4.243631,55.865782,1,2020-02-01,9,"GLKP","Glasgow Townhead","Urban Background",254.074913168526,6.1,6.2375,57.1844279166667
"8",-0.460861,51.49633,1,2020-02-01,10,"HIL","London Hillingdon","Urban Background",255.897386568847,7.49583333333333,7.65416666666667,50.9755833333333
"9",-0.341222,53.74878,1,2020-02-01,11,"HUL2","Hull Freetown","Urban Background",253.705480556952,9.22083333333333,7.18333333333333,61.5417066666667
"10",-1.127182,52.619904,1,2020-02-01,12,"LECU","Leicester University","Urban Background",254.18807779566,6.7375,7.32083333333333,63.95133125
"11",-2.73684,52.221593,1,2020-02-01,13,"LEOM","Leominster","Suburban Background",247.585073921576,6.94166666666667,6.59583333333333,76.5309379166667
"12",-7.900328,54.43951,1,2020-02-01,14,"LN","Lough Navar","Rural Background",261.904107439228,8.93333333333333,6.0875,57.3140108333333
"13",-2.238917,53.371722,1,2020-02-01,15,"MAHG","Manchester Sharston","Suburban Industrial",252.200248448232,8.5125,6.84583333333333,59.54046375
"14",-2.237881,53.48152,1,2020-02-01,16,"MAN3","Manchester Piccadilly","Urban Background",254.359163820768,6.38333333333333,7.41666666666667,45.0245170833333
"15",-9.903917,53.326444,1,2020-02-01,17,"MH","Mace Head","Rural Background",258.771703092992,11.525,8.71666666666667,86.42462
"16",-1.610528,54.97825,1,2020-02-01,18,"NEWC","Newcastle Centre","Urban Background",262.862871516588,7.4375,7.02916666666667,66.9245541666667
"17",1.302686,52.614823,1,2020-02-01,19,"NO12","Norwich Lakenfields","Urban Background",254.422811190964,7.80416666666667,7.34583333333333,69.1877325
"18",-1.146447,52.95473,1,2020-02-01,20,"NOTT","Nottingham Centre","Urban Background",256.677270081363,7.30833333333333,7.52916666666667,63.1341091666667
"19",-0.916605,52.272257,1,2020-02-01,21,"NTN4","Northampton Spring Park","Urban Background",256.370037709872,8.625,7.12916666666667,74.20331375
