"","U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","wd","ws","air_temp","Poll_Value"
"1",-2.094278,57.15736,1,2020-02-01,1,"ABD","Aberdeen","Urban Background",266.296717463483,7.82083333333333,4.78333333333333,4.24520833333333
"2",-3.2429,55.79216,1,2020-02-01,2,"ACTH","Auchencorth Moss","Rural Background",251.39914477319,9.33333333333333,4.68333333333333,1.80125
"3",-5.928833,54.59965,1,2020-02-01,3,"BEL2","Belfast Centre","Urban Background",260.870082276749,9.2875,5.8625,9.285625
"4",-1.874978,52.476145,1,2020-02-01,4,"BIRR","Birmingham A4540 Roadside","Urban Traffic",258.496385488857,6.43333333333333,7.35416666666667,7.218
"5",-3.007175,53.80489,1,2020-02-01,5,"BLC2","Blackpool Marton","Urban Background",254.264275559535,10.4083333333333,7.21666666666667,14.9214583333333
"6",-1.918235,52.481346,1,2020-02-01,6,"BMLD","Birmingham Ladywood","Urban Background",256.220951678,6.9,7.07916666666667,6.54975
"7",-1.454946,53.244131,1,2020-02-01,7,"CHLG","Chesterfield Loundsley Green","Urban Background",257.555204148857,10.0416666666667,6.78333333333333,6.50554166666667
"8",-1.456928,53.231751,1,2020-02-01,8,"CHS7","Chesterfield Roadside","Urban Traffic",257.555204148857,10.0416666666667,6.78333333333333,6.857375
"9",-1.560189,52.411628,1,2020-02-01,9,"COAL","Coventry Allesley","Urban Background",253.620466159592,8.38333333333333,7.09583333333333,7.01066666666667
"10",-2.334139,53.48481,1,2020-02-01,10,"ECCL","Salford Eccles","Urban Background",256.175246834077,8.08333333333333,6.70416666666667,8.67429166666667
"11",-3.182186,55.945589,1,2020-02-01,11,"ED3","Edinburgh St Leonards","Urban Background",250.595796222208,10.0458333333333,7.0125,3.398125
"12",-4.238214,55.860936,1,2020-02-01,12,"GHSR","Glasgow High Street","Urban Traffic",254.074913168526,6.1,6.2375,4.8065
"13",-4.734421,55.944079,1,2020-02-01,13,"GKA8","Greenock A8 Roadside","Urban Traffic",257.371604081233,7.67916666666667,6,3.407125
"14",-4.243631,55.865782,1,2020-02-01,14,"GLKP","Glasgow Townhead","Urban Background",254.074913168526,6.1,6.2375,4.494875
"15",-0.037418,51.449674,1,2020-02-01,15,"HP1","London Honor Oak Park","Urban Background",260.136738410996,5.575,8.3875,6.48591666666667
"16",-0.213492,51.52105,1,2020-02-01,16,"KC1","London N. Kensington","Urban Background",257.474383014086,5.50833333333333,8.1125,6.79533333333333
